match_id,lambda_a,lambda_b,updated_p_team_a_advance,updated_p_team_b_advance,p_a_advance_given_draw,p_b_advance_given_draw,p_a_advance_given_a_win,p_b_advance_given_b_win,common_draw_benefit,win_incentive_gain,importance,updated_attractiveness,stakeless_risk,collusion_risk
GA05,1.6223670523780906,0.8685477858058781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.41943353501683034,1.0,0.65
GA06,0.8818283877225395,1.5967024035619715,0.2312,0.53105,0.08637349635180437,0.0,1.0,0.9886437680349995,0.0,0.9511351358415976,0.853564915,0.6081416054769789,0.14643508500000005,0.0
GB05,0.7601228138750928,2.0193988318453715,0.35265,1.0,0.9962695846804277,1.0,1.0,1.0,0.9962695846804277,0.00186520765978615,0.45657595500000003,0.5807310905692844,0.543424045,0.8052758744952481
GB06,1.358774266821908,1.1253597949974685,0.59925,0.3202,0.6661117277099519,0.03588605253422124,1.0,1.0,0.03588605253422124,0.6490011098779134,0.9156427949999999,0.6665180959787724,0.08435720499999999,0.01222406848129101
GC05,2.431720924686125,0.6053622878766597,1.0,0.07865,1.0,0.0416116248348745,1.0,1.0,0.0416116248348745,0.47919418758256277,0.144928355,0.4648989095110586,0.855071645,0.01518581350573026
GC06,2.5076353268069336,0.5844070607254127,0.9629,0.2131,1.0,0.9238302502720348,1.0,1.0,0.9238302502720348,0.0380848748639826,0.40682396000000004,0.4700238296327949,0.5931760399999999,0.704153000087828
GD05,1.3266711811914627,1.0699779730950172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.49268684630078063,1.0,0.65
GD06,1.1982352605288589,1.1787006878673918,0.31705,0.6272,0.0,0.9992769342010123,0.8509125067096082,1.0,0.0,0.42581778625429795,0.900698915,0.6886886295768173,0.09930108499999998,0.0
GE05,1.3596303999090775,1.0418441497262947,1.0,0.95175,1.0,1.0,1.0,1.0,1.0,0.0,0.09184387500000003,0.527262641408501,0.908156125,0.68214535625
GE06,0.6712623454031693,2.100127777096327,0.0024,1.0,0.0,1.0,0.023032629558541268,1.0,0.0,0.011516314779270634,0.0047884799999999995,0.3981119367468775,0.99521152,0.0
GF05,2.4505310260781177,0.5792658514863311,1.0,0.06715,1.0,0.0034399724802201583,1.0,1.0,0.0034399724802201583,0.4982800137598899,0.125281755,0.4238355149134216,0.874718245,0.001197515367025213
GF06,1.28713435441443,1.099470087916391,0.9381,0.31875,1.0,0.003909886427108546,1.0,1.0,0.003909886427108546,0.49804505678644573,0.5504336549999999,0.6205222522664289,0.4495663450000001,0.001653777275376451
GG05,3.014637553063542,0.4964197533142437,1.0,0.78465,1.0,1.0,1.0,1.0,1.0,0.0,0.33794875500000005,0.46410660283883054,0.662051245,0.76828206425
GG06,1.2024018292538068,1.2497275422200345,0.80785,0.15605,1.0,0.0,1.0,0.41652208728146267,0.0,0.20826104364073134,0.5738535499999999,0.6088278037584447,0.42614644999999995,0.0
GH05,1.3404852623172028,1.0797928718978573,1.0,0.9845,1.0,1.0,1.0,1.0,1.0,0.0,0.030519499999999918,0.5207317671985551,0.9694805000000001,0.660681825
GH06,0.960025691724676,1.4946392176709542,0.02295,0.9638,0.0,1.0,0.09327372485267223,1.0,0.0,0.04663686242633611,0.11462571500000002,0.43590314542434433,0.8853742849999999,0.0
GI05,1.9323834915455038,0.748282859642706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4466719513083174,1.0,0.65
GI06,2.074929682922946,0.6958976012063717,0.88875,0.05665,0.999236835410837,0.0,1.0,0.5099009900990099,0.0,0.25533207734408647,0.30462842999999995,0.46280691636578625,0.69537157,0.0
GJ05,2.5963148754813203,0.5159505300783468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3668961106245993,1.0,0.65
GJ06,0.8910404042084267,1.4919012701430066,0.22295,0.50275,0.0,0.0,0.987815684536996,0.9938717010971632,0.0,0.9908436928170796,0.84647147,0.626555379582176,0.15352853000000002,0.0
GK05,1.2300973504499804,1.1284628610883825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5277061119276394,1.0,0.65
GK06,1.0607131189994479,1.308164289089664,0.2891,0.1275,0.0,0.0,0.9511432801447607,0.3040782256141188,0.0,0.6276107528794397,0.63352988,0.5630417157776754,0.36647011999999995,0.0
GL05,2.900189864916851,0.4752359062181531,1.0,0.582,1.0,1.0,1.0,1.0,1.0,0.0,0.48655200000000004,0.4677918112598257,0.513448,0.8202932000000001
GL06,1.8229101047926597,0.7650856633417824,1.0,0.0991,1.0,0.0,1.0,0.6375040205853972,0.0,0.3187520102926986,0.17855838,0.43784980102054916,0.8214416200000001,0.0
